Wavelenght,C 1.1,DH1R,DH2.1T,DH3.1,H1Bl Hair,H1c- hair,H2.1T Hair,N1TT_good,N2.2ML_28,N3.1TT,N3.1TT_Good,R1_22,R1Sc_24,R2_good,R3.1TStraw,R4.1_23,R5_17,R6_18,R7_20,SP2.1E,SP13.1C,SP13.2B,SP-bev,SS 1.1,UN1
1340.766872,94.921979,95.485255,85.499468,98.189418,93.137477,90.68003,94.82451,62.826444,93.420023,99.68094,85.794688,96.262518,93.218896,95.225811,93.975538,84.893061,92.11653,6.759139,56.451107,93.785597,95.186617,90.967487,97.060508,88.776475,94.230599
1341.00793,94.904217,95.455268,85.470567,98.178569,93.12952,90.765372,94.810171,63.218458,93.398841,99.677862,85.959001,96.239684,93.195087,95.213106,93.942344,84.948341,92.095104,6.756163,56.419773,93.776855,95.168369,90.96217,97.035,88.744359,94.218687
1341.248989,94.886153,95.423823,85.440612,98.166944,93.121322,90.853657,94.79524,63.653679,93.377245,99.674083,86.118926,96.215932,93.170258,95.200035,93.907383,85.014554,92.073323,6.753061,56.386964,93.767905,95.149998,90.956699,97.008079,88.711418,94.206627
1341.490047,94.86788,95.391005,85.409647,98.154594,93.11296,90.944504,94.779803,64.129415,93.355366,99.669749,86.274166,96.191349,93.144528,95.186699,93.870772,85.091328,92.051267,6.749857,56.352732,93.758779,95.13151,90.95109,96.979723,88.677762,94.194496
1341.731106,94.849493,95.356886,85.37771,98.141568,93.104514,91.037533,94.763943,64.642782,93.333332,99.665012,86.424462,96.166019,93.118011,95.173202,93.832624,85.178235,92.029007,6.746579,56.317131,93.74951,95.112908,90.94536,96.949902,88.643496,94.182368
1341.972164,94.831081,95.321526,85.344835,98.127912,93.096058,91.132367,94.747742,65.190738,93.311268,99.660022,86.569596,96.140022,93.090807,95.159641,93.793048,85.274802,92.006609,6.743255,56.280211,93.740124,95.094191,90.939521,96.918582,88.608718,94.17031
1342.213223,94.812733,95.284974,85.311045,98.113669,93.087664,91.228635,94.731278,65.770111,93.289292,99.654925,86.709381,96.113435,93.063006,95.146112,93.752142,85.380509,91.984131,6.739913,56.242019,93.730649,95.075356,90.933588,96.885724,88.573514,94.158386
1342.454281,94.794526,95.247244,85.276346,98.098864,93.079396,91.325968,94.714628,66.377521,93.267509,99.649858,86.843661,96.086311,93.034665,95.132699,93.709978,85.494796,91.961608,6.736583,56.2026,93.721109,95.056395,90.92757,96.851273,88.537953,94.146649
1342.695339,94.776533,95.208375,85.240764,98.083541,93.071306,91.424019,94.697851,67.009732,93.246017,99.644947,86.972312,96.058722,93.005862,95.119482,93.666648,85.617067,91.939086,6.733291,56.161986,93.711527,95.037298,90.921481,96.815196,88.502107,94.135153
1342.936398,94.758818,95.168367,85.204301,98.067727,93.063441,91.522447,94.681005,67.663371,93.224896,99.640304,87.09523,96.030718,92.97664,95.106526,93.622207,85.746698,91.916586,6.730062,56.120205,93.701924,95.018051,90.915329,96.777439,88.466025,94.12394
